CEP;CHAVE;UF;TIPO;TITULO;PREPOSICAO;NOME;BAIRRO1;BAIRRO2;LIMINFPAR;LIMINFIMPA;LIMSUPPAR;LIMSUPIMPA;FLAGS;LADOS
1001000;01000;SP;PC;;DA;SE;SE;;0;0;0;99999999;0;240
1001001;01000;SP;PC;;DA;SE;SE;;0;0;99999999;0;0;15
1001010;01000;SP;R;;;FILIPE DE OLIVEIRA;SE;;0;0;99999999;99999999;0;17
1001900;01000;SP;PC;;DA;SE;SE;;108;108;108;108;6;34
1001901;01000;SP;PC;;DA;SE;SE;;371;371;371;371;6;34
1001902;01000;SP;PC;;DA;SE;SE;;385;385;385;385;6;34
1002000;01000;SP;R;;;DIREITA;SE;;0;0;99999999;0;0;15
1002001;01000;SP;R;;;DIREITA;SE;;0;0;0;99999999;0;240
1002010;01000;SP;PC;;DO;PATRIARCA;SE;;0;0;99999999;99999999;0;17
1002020;01000;SP;VD;;DO;CHA;CENTRO;;0;0;99999999;99999999;0;17
1002901;01000;SP;R;;;DIREITA;SE;;32;32;32;32;6;34
1002902;01000;SP;R;;;DIREITA;SE;;191;191;191;191;6;34
1002903;01000;SP;R;;;DIREITA;SE;;250;250;250;250;6;34
1003000;01000;SP;R;;;JOSE BONIFACIO;SE;;0;0;99999999;0;0;15
1003001;01000;SP;R;;;JOSE BONIFACIO;SE;;0;0;0;99999999;0;240
1003010;01000;SP;PC;OUVIDOR;;PACHECO E SILVA;SE;;0;0;99999999;99999999;0;17
1003900;01000;SP;R;;;JOSE BONIFACIO;SE;;24;24;24;24;6;34
1003901;01000;SP;R;;;JOSE BONIFACIO;SE;;93;93;93;93;6;34
1003902;01000;SP;R;;;JOSE BONIFACIO;SE;;209;209;209;209;6;34
1003903;01000;SP;R;;;JOSE BONIFACIO;SE;;250;250;250;250;6;34
1003904;01000;SP;R;;;JOSE BONIFACIO;SE;;278;278;278;278;6;34
1003905;01000;SP;R;;;JOSE BONIFACIO;SE;;367;367;367;367;6;34
1004000;01000;SP;R;BARAO;;DE PARANAPIACABA;SE;;0;0;99999999;99999999;0;17
1004010;01000;SP;R;;;QUINTINO BOCAIUVA;SE;;0;0;99999999;99999999;0;17
1004900;01000;SP;R;;;QUINTINO BOCAIUVA;SE;;71;71;71;71;6;34
1004901;01000;SP;R;;;QUINTINO BOCAIUVA;SE;;176;176;176;176;6;34
1004902;01000;SP;R;;;QUINTINO BOCAIUVA;SE;;191;191;191;191;6;34
1004903;01000;SP;R;;;QUINTINO BOCAIUVA;SE;;231;231;231;231;6;34
1004904;01000;SP;R;BARAO;;DE PARANAPIACABA;SE;;93;93;93;93;6;34
1005000;01000;SP;R;;;BENJAMIN CONSTANT;SE;;0;0;99999999;99999999;0;17
1005010;01000;SP;LARGO;SAO;;FRANCISCO;SE;;0;0;99999999;99999999;0;17
1005020;01000;SP;R;SAO;;FRANCISCO;SE;;0;0;99999999;99999999;0;17
1005030;01000;SP;R;;DO;OUVIDOR;SE;;0;0;99999999;99999999;0;17
1005900;01000;SP;R;;;BENJAMIN CONSTANT;SE;;153;153;153;153;6;34
1006000;01000;SP;R;SEN;;FEIJO;SE;;0;0;99999999;0;0;15
1006001;01000;SP;R;SEN;;FEIJO;SE;;0;0;0;99999999;0;240
1006010;01000;SP;R;SEN;;PAULO EGIDIO;SE;;0;0;99999999;99999999;0;17
1006020;01000;SP;R;;;CRISTOVAO COLOMBO;SE;;0;0;99999999;99999999;0;17
1006030;01000;SP;VD;BRIGADEIRO;;LUIZ ANTONIO;SE;;0;0;99999999;99999999;0;17
1006040;01000;SP;PC;;;PAULO ALFEU DE MONTEIRO DUARTE;SE;;0;0;99999999;99999999;0;17
1006900;01000;SP;R;SEN;;FEIJO;SE;;69;69;69;69;6;34
1006901;01000;SP;R;SEN;;FEIJO;SE;;143;143;143;143;6;34
1006903;01000;SP;R;SEN;;PAULO EGIDIO;SE;;15;15;15;15;6;34
1006904;01000;SP;R;SEN;;PAULO EGIDIO;SE;;72;72;72;72;6;34
1007000;01000;SP;R;;;RIACHUELO;SE;;0;0;99999999;99999999;0;17
1007010;01000;SP;R;DR;;FALCAO FILHO;CENTRO;;0;0;99999999;99999999;0;17
1007020;01000;SP;PC;;DA;BANDEIRA;CENTRO;;0;0;99999999;99999999;0;17
1007030;01000;SP;GALERIA;;;PRESTES MAIA;CENTRO;;0;0;99999999;99999999;0;17
1007040;01000;SP;PARQUE;;;ANHANGABAU;CENTRO;;0;0;99999999;99999999;0;17
1007050;01000;SP;PASSARELA;;;CARLOS DRUMMOND DE ANDRADE;CENTRO;;0;0;99999999;99999999;0;17
1007060;01000;SP;VD;DR;;EUSEBIO STEVAUX;CENTRO;;0;0;99999999;99999999;0;17
1007070;01000;SP;LARGO;;;FERNANDO GALLEGO;CENTRO;;0;0;99999999;99999999;0;17
1007080;01000;SP;PASSARELA;;DO;PIQUES;CENTRO;;0;0;99999999;99999999;0;17
1007900;01000;SP;R;DR;;FARIA PEREIRA;CENTRO;;56;56;56;56;6;34
1007901;01000;SP;R;;;RIACHUELO;SE;;44;44;44;44;6;34
1007904;01000;SP;R;;;RIACHUELO;SE;;115;115;115;115;6;34
1007905;01000;SP;R;;;RIACHUELO;SE;;20;20;20;20;6;34
1007906;01000;SP;R;;;RIACHUELO;SE;;231;231;231;231;6;34
1008000;01000;SP;R;;;LIBERO BADARO;CENTRO;;0;0;99999999;0;0;15
1008010;01000;SP;R;DR;;MIGUEL COUTO;CENTRO;;0;0;99999999;99999999;0;17
1008900;01000;SP;R;DR;;MIGUEL COUTO;CENTRO;;53;53;53;53;6;34
1008901;01000;SP;R;DR;;MIGUEL COUTO;CENTRO;;58;58;58;58;6;34
1008902;01000;SP;R;;;LIBERO BADARO;CENTRO;;92;92;92;92;6;34
1008903;01000;SP;R;;;LIBERO BADARO;CENTRO;;152;152;152;152;6;34
1008904;01000;SP;R;;;LIBERO BADARO;CENTRO;;158;158;158;158;6;34
1008905;01000;SP;R;;;LIBERO BADARO;CENTRO;;346;346;346;346;6;34
1008906;01000;SP;R;;;LIBERO BADARO;CENTRO;;504;504;504;504;6;34
1008908;01000;SP;R;;;LIBERO BADARO;CENTRO;;600;600;600;600;6;34
1009000;01000;SP;R;;;LIBERO BADARO;CENTRO;;0;0;0;99999999;0;240
1009901;01000;SP;R;;;LIBERO BADARO;CENTRO;;93;93;93;93;6;34
1009902;01000;SP;R;;;LIBERO BADARO;CENTRO;;101;101;101;101;6;34
1009903;01000;SP;R;;;LIBERO BADARO;CENTRO;;471;471;471;471;6;34
1009904;01000;SP;R;;;LIBERO BADARO;CENTRO;;633;633;633;633;6;34
1009905;01000;SP;R;;;LIBERO BADARO;CENTRO;;425;425;425;425;6;34
1009906;01000;SP;R;;;LIBERO BADARO;CENTRO;;377;377;377;377;6;34
1009907;01000;SP;R;;;LIBERO BADARO;CENTRO;;293;293;293;293;6;34
1009908;01000;SP;R;;;LIBERO BADARO;CENTRO;;73;73;73;73;6;34
1010000;01000;SP;R;SAO;;BENTO;CENTRO;;0;0;318;0;0;2
1010001;01000;SP;R;SAO;;BENTO;CENTRO;;320;0;99999999;0;0;2
1010010;01000;SP;PC;;;ANTONIO PRADO;CENTRO;;0;0;99999999;99999999;0;17
1010900;01000;SP;PC;;;ANTONIO PRADO;CENTRO;;33;33;33;33;6;34
1010901;01000;SP;PC;;;ANTONIO PRADO;CENTRO;;48;48;48;48;6;34
1010902;01000;SP;R;SAO;;BENTO;CENTRO;;290;290;290;290;6;34
1010903;01000;SP;R;SAO;;BENTO;CENTRO;;370;370;370;370;6;34
1010904;01000;SP;R;SAO;;BENTO;CENTRO;;398;398;398;398;6;34
1010905;01000;SP;R;SAO;;BENTO;CENTRO;;470;470;470;470;6;34
1011000;01000;SP;R;SAO;;BENTO;CENTRO;;0;0;0;319;0;32
1011100;01000;SP;R;SAO;;BENTO;CENTRO;;0;321;0;99999999;0;32
1011900;01000;SP;R;SAO;;BENTO;CENTRO;;59;59;59;59;6;34
1011901;01000;SP;R;SAO;;BENTO;CENTRO;;279;279;279;279;6;34
1011902;01000;SP;R;SAO;;BENTO;CENTRO;;329;329;329;329;6;34
1011903;01000;SP;R;SAO;;BENTO;CENTRO;;365;365;365;365;6;34
1011904;01000;SP;R;SAO;;BENTO;CENTRO;;545;545;545;545;6;34
1012000;01000;SP;R;;;ALVARES PENTEADO;CENTRO;;0;0;99999999;0;0;15
1012001;01000;SP;R;;;ALVARES PENTEADO;CENTRO;;0;0;0;99999999;0;240
1012010;01000;SP;R;;DA;QUITANDA;CENTRO;;0;0;99999999;99999999;0;17
1012020;01000;SP;LARGO;;DA;MISERICORDIA;CENTRO;;0;0;99999999;99999999;0;17
1012030;01000;SP;LARGO;;DO;CAFE;CENTRO;;0;0;99999999;99999999;0;17
1012900;01000;SP;R;;;ALVARES PENTEADO;CENTRO;;49;49;49;49;6;34
1012902;01000;SP;R;;;ALVARES PENTEADO;CENTRO;;180;180;180;180;6;34
1012904;01000;SP;R;;;ALVARES PENTEADO;CENTRO;;143;143;143;143;6;34
1012905;01000;SP;R;;;ALVARES PENTEADO;CENTRO;;151;151;151;151;6;34
1012907;01000;SP;R;;DA;QUITANDA;CENTRO;;96;96;96;96;6;34
1012908;01000;SP;R;;DA;QUITANDA;CENTRO;;113;113;113;113;6;34
1012909;01000;SP;LARGO;;DA;MISERICORDIA;CENTRO;;23;23;23;23;6;34
1013000;01000;SP;R;;;15 DE NOVEMBRO;CENTRO;;0;0;99999999;0;0;15
1013001;01000;SP;R;;;15 DE NOVEMBRO;CENTRO;;0;0;0;99999999;0;240
1013010;01000;SP;R;;DO;COMERCIO;CENTRO;;0;0;99999999;99999999;0;17
1013020;01000;SP;R;;DO;TESOURO;CENTRO;;0;0;99999999;99999999;0;17
1013901;01000;SP;R;;DO;TESOURO;CENTRO;;23;23;23;23;6;34
1013902;01000;SP;R;;DO;TESOURO;CENTRO;;47;47;47;47;6;34
